[INFO ] [2022-10-15 16:45:53,121] Pre-Condition - Open browser and navigate to app Url
[INFO ] [2022-10-15 16:45:59,399] Register - Step 01: Get Login Page Url
[INFO ] [2022-10-15 16:45:59,406] Register - Step 02: Click to 'here' link
[INFO ] [2022-10-15 16:45:59,550] Register - Step 03: Input to Email texbox
[INFO ] [2022-10-15 16:46:01,843] Register - Step 04: Click to Submit button
[INFO ] [2022-10-15 16:46:03,353] Register - Step 05: Get UserID/ Password infomation
[INFO ] [2022-10-15 16:46:03,578] Login - Step 01: Get Login Page Url 
[INFO ] [2022-10-15 16:46:04,859] Login - Step 02: Open Login Page 
[INFO ] [2022-10-15 16:46:04,904]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-15 16:46:04,906] Login - Step 03: Input UserID/ Password texbox
[INFO ] [2022-10-15 16:46:05,392] Login - Step 04: Click to Login button
[INFO ] [2022-10-15 16:46:06,740] Login - Step 05: Verify home page
[INFO ] [2022-10-15 16:46:06,852]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-15 16:46:06,853] Post-Condition - Close browser
[INFO ] [2022-10-15 16:50:05,260] Pre-Condition - Open browser and navigate to app Url
[INFO ] [2022-10-15 16:50:11,483] Register - Step 01: Get Login Page Url
[INFO ] [2022-10-15 16:50:11,489] Register - Step 02: Click to 'here' link
[INFO ] [2022-10-15 16:50:11,683] Register - Step 03: Input to Email texbox
[INFO ] [2022-10-15 16:50:15,039] Register - Step 04: Click to Submit button
[INFO ] [2022-10-15 16:50:16,464] Register - Step 05: Get UserID/ Password infomation
[INFO ] [2022-10-15 16:50:16,656] Login - Step 01: Get Login Page Url 
[INFO ] [2022-10-15 16:50:17,933] Login - Step 02: Open Login Page 
[INFO ] [2022-10-15 16:50:17,978]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-15 16:50:17,981] Login - Step 03: Input UserID/ Password texbox
[INFO ] [2022-10-15 16:50:18,321] Login - Step 04: Click to Login button
[INFO ] [2022-10-15 16:50:19,685] Login - Step 05: Verify home page
[INFO ] [2022-10-15 16:50:19,818]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-15 16:50:19,819] Post-Condition - Close browser
[INFO ] [2022-10-15 16:51:27,146] Pre-Condition - Open browser and navigate to app Url
[INFO ] [2022-10-15 16:51:33,281] Register - Step 01: Get Login Page Url
[INFO ] [2022-10-15 16:51:33,287] Register - Step 02: Click to 'here' link
[INFO ] [2022-10-15 16:51:33,450] Register - Step 03: Input to Email texbox
[INFO ] [2022-10-15 16:51:36,236] Register - Step 04: Click to Submit button
[INFO ] [2022-10-15 16:51:37,996] Register - Step 05: Get UserID/ Password infomation
[INFO ] [2022-10-15 16:51:38,213] Login - Step 01: Get Login Page Url 
[INFO ] [2022-10-15 16:51:39,481] Login - Step 02: Open Login Page 
[INFO ] [2022-10-15 16:51:39,556]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-15 16:51:39,558] Login - Step 03: Input UserID/ Password texbox
[INFO ] [2022-10-15 16:51:39,922] Login - Step 04: Click to Login button
[INFO ] [2022-10-15 16:51:41,409] Login - Step 05: Verify home page
[INFO ] [2022-10-15 16:51:41,509]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-15 16:51:41,511] Post-Condition - Close browser
[INFO ] [2022-10-15 16:53:24,716] Pre-Condition - Open browser and navigate to app Url
[INFO ] [2022-10-15 16:53:30,826] Register - Step 01: Get Login Page Url
[INFO ] [2022-10-15 16:53:30,831] Register - Step 02: Click to 'here' link
[INFO ] [2022-10-15 16:53:30,972] Register - Step 03: Input to Email texbox
[INFO ] [2022-10-15 16:53:33,431] Register - Step 04: Click to Submit button
[INFO ] [2022-10-15 16:53:34,963] Register - Step 05: Get UserID/ Password infomation
[INFO ] [2022-10-15 16:53:35,158] Login - Step 01: Get Login Page Url 
